Serie,Temporada,Episodio,Titulo,Tipo,Data,Dia,Mes,Ano,Dia Semana,Genero,Data_dia,Feriado
Challenger,Voo Final,Minissérie,Nada acaba aqui,Série,2021-05-01,1,Maio,2021,Sábado,Documentário,2021-05-01,True
Challenger,Voo Final,Minissérie,Uma grande avaria,Série,2021-05-01,1,Maio,2021,Sábado,Documentário,2021-05-01,True
Challenger,Voo Final,Minissérie,Socorro!,Série,2021-05-01,1,Maio,2021,Sábado,Documentário,2021-05-01,True
Challenger,Voo Final,Minissérie,O espaço para todos,Série,2021-05-01,1,Maio,2021,Sábado,Documentário,2021-05-01,True
A Vida em Cores com David Attenborough,Enxergando as cores,,,Série,2021-04-29,29,Abril,2021,Quinta-feira,Documentário,2021-04-29,False
Radioactive,,,,Filme,2021-04-28,28,Abril,2021,Quarta-feira,Biografia,2021-04-28,False
The Crown,Temporada 4,Quarenta e oito contra um,,Série,2021-04-21,21,Abril,2021,Quarta-feira,Drama,2021-04-21,True
The Crown,Temporada 4,O princípio da hereditariedade,,Série,2021-04-21,21,Abril,2021,Quarta-feira,Drama,2021-04-21,True
The Crown,Temporada 4,Terra de ninguém,,Série,2021-04-18,18,Abril,2021,Domingo,Drama,2021-04-18,False
The Crown,Temporada 4,Fagan,,Série,2021-04-10,10,Abril,2021,Sábado,Drama,2021-04-10,False
The Crown,Temporada 4,Favoritos,,Série,2021-04-10,10,Abril,2021,Sábado,Drama,2021-04-10,False
The Crown,Temporada 4,Conto de fadas,,Série,2021-04-04,4,Abril,2021,Domingo,Drama,2021-04-04,False
The Crown,Temporada 4,O teste de Balmoral,,Série,2021-04-03,3,Abril,2021,Sábado,Drama,2021-04-03,False
The Crown,Temporada 4,Guarda-costas,,Série,2021-04-03,3,Abril,2021,Sábado,Drama,2021-04-03,False
Trabalho interno,,,,Filme,2021-04-02,2,Abril,2021,Sexta-feira,Documentário,2021-04-02,True
Legado Italiano,,,,Filme,2021-04-02,2,Abril,2021,Sexta-feira,Documentário,2021-04-02,True
The Crown,Temporada 3,Cri de coeur,,Série,2021-04-01,1,Abril,2021,Quinta-feira,Drama,2021-04-01,False
The Crown,Temporada 3,Imbróglio,,Série,2021-04-01,1,Abril,2021,Quinta-feira,Drama,2021-04-01,False
The Crown,Temporada 3,Na corda bamba,,Série,2021-03-27,27,Março,2021,Sábado,Drama,2021-03-27,False
The Crown,Temporada 3,Poeira lunar,,Série,2021-03-27,27,Março,2021,Sábado,Drama,2021-03-27,False
Ascensão,Império Otomano,Rompendo barreiras,,Série,2021-03-27,27,Março,2021,Sábado,Documentário,2021-03-27,False
Ascensão,Império Otomano,O novo sultão,,Série,2021-03-27,27,Março,2021,Sábado,Documentário,2021-03-27,False
Os Cavaleiros do Zodíaco,"Cisne, o guerreiro do gelo",,,Série,2021-03-25,25,Março,2021,Quinta-feira,Infantil,2021-03-25,False
Os Cavaleiros do Zodíaco,Quando Seiya veste a Armadura de Pégaso,,,Série,2021-03-25,25,Março,2021,Quinta-feira,Infantil,2021-03-25,False
Os Cavaleiros do Zodíaco,As Lendas de Uma Nova Era,,,Série,2021-03-25,25,Março,2021,Quinta-feira,Infantil,2021-03-25,False
Suits,Temporada 6,Às encrencas,,Série,2021-03-25,25,Março,2021,Quinta-feira,Drama,2021-03-25,False
Quanto Tempo o Tempo Tem,,,,Filme,2021-03-20,20,Março,2021,Sábado,Documentário,2021-03-20,False
Cabras da Peste,,,,Filme,2021-03-20,20,Março,2021,Sábado,Comédia,2021-03-20,False
The Story of Diana,Parte 2,,,Série,2021-03-14,14,Março,2021,Domingo,Documentário,2021-03-14,False
The Story of Diana,Parte 1,,,Série,2021-03-13,13,Março,2021,Sábado,Documentário,2021-03-13,False
The Crown,Temporada 3,Tywysog Cymru,,Série,2021-03-13,13,Março,2021,Sábado,Drama,2021-03-13,False
The Crown,Temporada 3,Golpe,,Série,2021-03-13,13,Março,2021,Sábado,Drama,2021-03-13,False
The Royal House of Windsor,Amor e dever,,,Série,2021-03-07,7,Março,2021,Domingo,Documentário,2021-03-07,False
The Crown,Temporada 3,Bubbikins,,Série,2021-03-07,7,Março,2021,Domingo,Drama,2021-03-07,False
The Crown,Temporada 3,Aberfan,,Série,2021-03-07,7,Março,2021,Domingo,Drama,2021-03-07,False
A Indústria da Cura,Jejum,,,Série,2021-03-07,7,Março,2021,Domingo,Documentário,2021-03-07,False
The Crown,Temporada 3,Margaretologia,,Série,2021-03-06,6,Março,2021,Sábado,Drama,2021-03-06,False
The Crown,Temporada 3,Olding,,Série,2021-03-06,6,Março,2021,Sábado,Drama,2021-03-06,False
